age,What is your age?,¿Cuál es su edad?
gender,What is your gender? - Selected Choice,¿Cuál es su género? - Selected Choice
race_ethnicity,What is your race/ethnicity? (select all that apply),¿Cuál es su raza / etnicidad? (seleccione todas las que correspondan)
residency_time,"Where have you lived? (List each town or city you have lived in then choose the amount of years a... - How long did you live there? - City, State","¿Donde ha vivido? (Indique cada pueblo o ciudad en la que ha vivido, el estado, y seleccione cuan... - número de años - Ciudad/pueblo, estado"
residency_place,"Where have you lived? (List each town or city you have lived in then choose the amount of years a... - How long did you live there? - City, State - Text","¿Donde ha vivido? (Indique cada pueblo o ciudad en la que ha vivido, el estado, y seleccione cuan... - número de años - Ciudad/pueblo, estado - Text"
langauge,Please list all the languages you have experience with and what age you started learning the lang... - Language - Language 1 -,Enumere todos los idiomas con los que tiene experiencia y a qué edad comenzó a aprender el idioma... - Idioma - Idioma 1 -
language_2,Please list all the languages you have experience with and what age you started learning the lang... - Language - Language 2 -,Enumere todos los idiomas con los que tiene experiencia y a qué edad comenzó a aprender el idioma... - Idioma - Idioma 2 -
langauge_3,Please list all the languages you have experience with and what age you started learning the lang... - Language - Language 3 -,Enumere todos los idiomas con los que tiene experiencia y a qué edad comenzó a aprender el idioma... - Idioma - Idioma 3 -
langauge_age,Please list all the languages you have experience with and what age you started learning the lang... - What age did you start learning the language? - Language 1 -,Enumere todos los idiomas con los que tiene experiencia y a qué edad comenzó a aprender el idioma... - ¿A qué edad empezó a aprender el idioma? - Idioma 1 -
langauge_age_2,Please list all the languages you have experience with and what age you started learning the lang... - What age did you start learning the language? - Language 2 -,Enumere todos los idiomas con los que tiene experiencia y a qué edad comenzó a aprender el idioma... - ¿A qué edad empezó a aprender el idioma? - Idioma 2 -
language_age_3,Please list all the languages you have experience with and what age you started learning the lang... - What age did you start learning the language? - Language 3 -,Enumere todos los idiomas con los que tiene experiencia y a qué edad comenzó a aprender el idioma... - ¿A qué edad empezó a aprender el idioma? - Idioma 3 -
education,What is the highest level of education you have completed? - Selected Choice,educación 
profession,What are the professions of your parents/caregivers?,¿Cuáles son las profesiones de sus padres / cuidadores?
interact_spanish,"In your daily life, you may interact with speakers of English or Spanish who learned the language later in life and speak with a noticeable foreign accent. 
For each language, please estimate how often you hear accented speech in your daily life, where 1 = rarely/almost never and 5 = almost every day - Spanish","En su vida diaria, puede interactuar con hablantes de inglés o español que aprendieron el idioma más tarde en la vida y hablan con un acento extranjero notable. 
 Para cada idioma, calcule la frecuencia con la que escucha el habla con acento en su vida diaria, donde 1 = rara vez / casi nunca y 5 = casi todos los días. - Español"
interact_english,"In your daily life, you may interact with speakers of English or Spanish who learned the language later in life and speak with a noticeable foreign accent. 
For each language, please estimate how often you hear accented speech in your daily life, where 1 = rarely/almost never and 5 = almost every day - English","En su vida diaria, puede interactuar con hablantes de inglés o español que aprendieron el idioma más tarde en la vida y hablan con un acento extranjero notable. 
 Para cada idioma, calcule la frecuencia con la que escucha el habla con acento en su vida diaria, donde 1 = rara vez / casi nunca y 5 = casi todos los días. - Inglés"
accents,"For each language, list the most common foreign accents that you typically hear in your daily life (for example, Spanish spoken with an American English accent)","Para cada idioma, enumere los acentos extranjeros más comunes que normalmente escucha en su vida diaria (por ejemplo, español hablado con acento de inglés americano)"
device,What device did you use to listen to the audio recordings during this survey? - Selected Choice,¿Qué dispositivo usó para escuchar las grabaciones de audio durante esta encuesta? - Selected Choice